Data,Contrato,Previous Close,Previous Open,Previous High,Previous Low,Weekly Previous Close,Weekly Previous High,Weekly Previous Low,Monthly Previous Close,Monthly Previous High,Monthly Previous Low,Trade Time
2026-08-13,SBH27,17.44,17.7,18.04,17.23,16.45,16.5,14.61,14.66,15.39,14.37,2026-08-13T12:15:00
2026-08-13,SBH28,17.66,17.8,18.06,17.55,16.45,16.5,14.61,14.66,15.39,14.37,2026-08-13T12:05:00
2026-08-13,SBH29,17.44,17.47,17.68,17.38,16.45,16.5,14.61,14.66,15.39,14.37,2026-08-13T12:05:00
2026-08-13,SBK27,17.17,17.38,17.67,16.98,16.45,16.5,14.61,14.66,15.39,14.37,2026-08-13T12:05:00
2026-08-13,SBK28,17.1,17.18,17.41,17.0,16.45,16.5,14.61,14.66,15.39,14.37,2026-08-13T12:05:00
2026-08-13,SBK29,17.06,0.0,17.06,17.06,16.45,16.5,14.61,14.66,15.39,14.37,2026-08-13T12:05:19
2026-08-13,SBN27,17.0,17.18,17.44,16.83,16.45,16.5,14.61,14.66,15.39,14.37,2026-08-13T12:05:00
2026-08-13,SBN28,16.86,16.89,17.12,16.77,16.45,16.5,14.61,14.66,15.39,14.37,2026-08-13T12:05:00
2026-08-13,SBN29,16.92,0.0,16.92,16.92,16.45,16.5,14.61,14.66,15.39,14.37,2026-08-13T12:05:19
2026-08-13,SBV26,16.42,16.74,17.11,16.22,16.45,16.5,14.61,14.66,15.39,14.37,2026-08-13T12:14:00
2026-08-13,SBV27,17.17,17.34,17.59,17.03,16.45,16.5,14.61,14.66,15.39,14.37,2026-08-13T12:23:00
2026-08-13,SBV28,16.97,16.98,17.23,16.91,16.45,16.5,14.61,14.66,15.39,14.37,2026-08-13T12:05:00
