Data,PTAX Compra,PTAX Venda,Data/Hora Cotação
2026-08-13,5.1853,5.1859,2026-08-13 13:09:15.558931
2026-08-14,5.223,5.2236,2026-08-14 13:10:22.94166
2026-08-17,5.2008,5.2014,2026-08-17 13:04:48.745527
2026-08-18,5.2037,5.2043,2026-08-18 13:10:39.550019
2026-08-19,5.1708,5.1714,2026-08-19 13:07:22.062208
2026-08-20,5.1856,5.1862,2026-08-20 13:06:16.554671
2026-08-21,5.1619,5.1625,2026-08-21 13:07:28.20125
2026-08-24,5.1506,5.1512,2026-08-24 13:04:14.216099
2026-08-25,5.1484,5.149,2026-08-25 13:04:44.743388
2026-08-26,5.1598,5.1604,2026-08-26 13:05:20.847747
